Project,Method,Test,Output,Category,Comment
"jfreechart,org.jfree.chart.JFreeChart.createBufferedImage,org.jfree.chart.renderer.category.GroupedStackedBarRendererTest.testDrawWithNullInfo, false negative,Mutant in method surviving due to test design - missing or weak assert,Checks only for ""no exception"""
jfreechart,org.jfree.chart.renderer.xy.AbstractXYItemRenderer.setSeriesToolTipGenerator,org.jfree.chart.XYBarChartTest.testSetSeriesToolTipGenerator, false negative,Mutant in method surviving due to test design - missing or weak assert,
jfreechart,org.jfree.chart.renderer.AbstractRenderer.hashCode,org.jfree.chart.renderer.xy.XYBubbleRendererTest.testHashcode, false negative,Mutant in method surviving due to test design - missing or weak assert,
jfreechart,org.jfree.chart.axis.SegmentedTimeline.SegmentedTimeline,org.jfree.chart.axis.SegmentedTimelineTest.testMs2SegmentedTimeline, false negative,No mutation operator applicable to method,Constructor
commonsio,org.apache.commons.io.output.ThresholdingOutputStream.write,org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold, false negative,Mutant in method surviving due to test design - missing or weak assert,removing every line in write method -> test still succeeds
commonsio,org.apache.commons.io.output.WriterOutputStream.WriterOutputStream,org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite, false negative,No mutation operator applicable to method,Constructor
commonsio,org.apache.commons.io.output.AppendableOutputStream.write,org.apache.commons.io.output.AppendableOutputStreamTest.testWriteStringBuilder, false negative,Mutant in method surviving due to test design - missing or weak assert,
commonsio,org.apache.commons.io.FileUtils.writeStringToFile,org.apache.commons.io.FileUtilsTestCase.testWriteLines_5argsWithAppendOptionFalse_ShouldDeletePreviousFileLines, false negative,Mutant in method surviving due to test design - missing or weak assert,Test does not veify, that line is here before
commonsio,org.apache.commons.io.FilenameUtils.getPathNoEndSeparator,org.apache.commons.io.FilenameUtilsTestCase.testGetPathNoEndSeparator_with_null_byte, false negative,Mutant in method surviving due to test design - missing or weak assert,Test always runs into an exception that is then ignored
commonsio,org.apache.commons.io.DirectoryWalker.handleCancelled,org.apache.commons.io.DirectoryWalkerTestCase.testCancel, false negative,No mutation operator applicable to method,
commonsio,org.apache.commons.io.TaggedIOException.TaggedIOException,org.apache.commons.io.TaggedIOExceptionTest.testTaggedIOException, false negative,No mutation operator applicable to method,Constructor
commonsio,org.apache.commons.io.IOCase.values,org.apache.commons.io.IOCaseTestCase.test_serialization, false negative,Tested method is not in the project,
